experiment,method,static_adj_precision,static_adj_recall,static_adj_f1,static_ori_precision,static_ori_recall,static_ori_f1,runtime_s
actuators_random_walk_1,TS-BOSS,0.30612244897959184,0.5769230769230769,0.4,0.11940298507462686,0.3076923076923077,0.17204301075268816,270.7699239253998
actuators_random_walk_1,PCMCI+,0.5384615384615384,0.2692307692307692,0.3589743589743589,0.36363636363636365,0.15384615384615385,0.21621621621621623,1.4702258110046387
actuators_random_walk_1,DYNOTEARS,0.4,0.3076923076923077,0.34782608695652173,0.16129032258064516,0.19230769230769232,0.17543859649122806,0.14051508903503418
actuators_random_walk_1,TS-FGES,0.47368421052631576,0.34615384615384615,0.39999999999999997,0.2857142857142857,0.3076923076923077,0.29629629629629634,2.2849178314208984
actuators_random_walk_2,TS-BOSS,0.2833333333333333,0.6538461538461539,0.39534883720930236,0.136986301369863,0.38461538461538464,0.202020202020202,368.0700988769531
actuators_random_walk_2,PCMCI+,0.23809523809523808,0.19230769230769232,0.21276595744680848,0.25,0.15384615384615385,0.1904761904761905,41.97652506828308
actuators_random_walk_2,DYNOTEARS,0.375,0.11538461538461539,0.1764705882352941,0.07692307692307693,0.038461538461538464,0.05128205128205129,0.38291311264038086
actuators_random_walk_2,TS-FGES,0.48,0.46153846153846156,0.47058823529411764,0.27586206896551724,0.3076923076923077,0.29090909090909095,4.4578680992126465
actuators_random_walk_3,TS-BOSS,0.34,0.6538461538461539,0.4473684210526316,0.23404255319148937,0.4230769230769231,0.3013698630136986,400.74995589256287
actuators_random_walk_3,PCMCI+,0.34782608695652173,0.3076923076923077,0.32653061224489793,0.2608695652173913,0.23076923076923078,0.24489795918367346,51.02630305290222
actuators_random_walk_3,DYNOTEARS,0.23076923076923078,0.11538461538461539,0.15384615384615388,0.043478260869565216,0.038461538461538464,0.04081632653061224,1.2125999927520752
actuators_random_walk_3,TS-FGES,0.28125,0.34615384615384615,0.3103448275862069,0.14,0.2692307692307692,0.18421052631578946,4.440036296844482
actuators_random_walk_4,TS-BOSS,0.2909090909090909,0.6153846153846154,0.3950617283950617,0.18032786885245902,0.4230769230769231,0.2528735632183908,432.65887689590454
actuators_random_walk_4,PCMCI+,0.2413793103448276,0.2692307692307692,0.2545454545454545,0.1111111111111111,0.07692307692307693,0.09090909090909093,132.03152108192444
actuators_random_walk_4,DYNOTEARS,0.15384615384615385,0.07692307692307693,0.10256410256410257,0.0,0.0,0.0,0.5367870330810547
